emo score, comment count, like count
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 1, 8
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 1, 9
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 7
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 0
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 4
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 2
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 3
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 2
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 0
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 0
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 0
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 0
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 1
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 1
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 0
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 1
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 2
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 1, 0
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 1, 0
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 1
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 0
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 3, 3
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 0
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 0
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 2
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 1
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 0
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 0
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 0
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 0
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 0
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 0
<bound method Post.emo_score of <__main__.Post object at 0x10d3aee48>>, 0, 0
